step,epoch,lossD,lossG,sec_per_step
1,1,1.342869,0.947620,0.1889
2,1,0.907682,2.537863,0.1664
3,1,0.234710,3.730570,0.1483
4,1,0.117576,4.340694,0.1395
5,1,0.074740,4.659801,0.1336
6,1,0.046277,4.836120,0.1302
7,1,0.035470,4.927653,0.1276
8,1,0.027623,4.972608,0.1253
9,1,0.025252,4.981649,0.1249
10,1,0.022919,4.960098,0.1236
11,1,0.021334,4.871272,0.1233
12,1,0.021661,4.722345,0.1224
13,1,0.028950,4.657168,0.1226
14,1,0.034826,4.757008,0.1221
15,1,0.033140,4.994486,0.1221
16,1,0.029311,5.201448,0.1225
17,1,0.023226,5.289682,0.1228
18,1,0.021670,5.306494,0.1224
19,1,0.019933,5.493696,0.1220
20,1,0.018663,5.509367,0.1221
21,1,0.017714,5.595241,0.1223
22,1,0.015435,5.661448,0.1224
23,1,0.014736,5.662842,0.1225
24,1,0.016194,5.561668,0.1223
25,1,0.018673,5.584040,0.1219
26,1,0.027208,5.499137,0.1215
27,1,0.026582,5.654512,0.1212
28,1,0.021904,5.672471,0.1213
29,1,0.019697,5.822742,0.1212
30,1,0.017393,5.827976,0.1208
31,1,0.015876,5.903327,0.1212
32,1,0.014515,5.900959,0.1216
33,1,0.013748,5.998076,0.1218
34,1,0.014419,5.908136,0.1214
35,1,0.019363,5.913016,0.1211
36,1,0.041015,6.694489,0.1209
37,1,0.021240,6.714148,0.1215
38,1,0.024924,6.184299,0.1213
39,1,0.025423,5.902507,0.1209
40,1,0.027143,5.621679,0.1208
41,1,0.020575,5.600336,0.1205
42,1,0.022172,5.750365,0.1202
43,1,0.020138,6.016093,0.1199
44,1,0.020047,6.019158,0.1197
45,1,0.016496,6.226637,0.1196
46,1,0.021366,6.074048,0.1195
47,1,0.019198,6.357310,0.1192
48,1,0.018084,6.287253,0.1191
49,1,0.017462,5.983076,0.1189
50,1,0.015706,6.177767,0.1188
51,1,0.016006,5.685757,0.1187
52,1,0.016621,6.027938,0.1187
53,1,0.014089,5.972981,0.1187
54,1,0.017172,5.779312,0.1187
55,1,0.015522,5.841206,0.1185
56,1,0.020527,6.293616,0.1185
57,1,0.017382,6.426215,0.1184
58,1,0.022110,5.870378,0.1183
59,1,0.021579,5.585944,0.1182
60,1,0.025844,6.332572,0.1180
61,1,0.020221,6.091270,0.1179
62,1,0.022916,5.771861,0.1178
63,1,0.026029,5.962270,0.1177
64,1,0.020507,6.378819,0.1175
65,1,0.019606,6.589456,0.1174
66,1,0.012321,6.593271,0.1173
67,1,0.010734,6.379461,0.1172
68,1,0.011547,6.326605,0.1171
69,1,0.011406,5.912177,0.1170
70,1,0.011627,6.192027,0.1170
71,1,0.008108,6.403059,0.1169
72,1,0.007517,6.484836,0.1168
73,1,0.007765,6.485322,0.1167
74,1,0.006447,6.344825,0.1168
75,1,0.011653,6.222378,0.1167
76,1,0.013328,6.403287,0.1168
77,1,0.006523,6.654954,0.1167
78,1,0.004372,6.894935,0.1166
79,1,0.003781,6.938799,0.1166
80,1,0.003605,6.987689,0.1165
81,1,0.003559,7.016470,0.1165
82,1,0.003203,7.035927,0.1164
83,1,0.003210,6.792458,0.1164
84,1,0.004811,6.498465,0.1164
85,1,0.005679,6.236264,0.1164
86,1,0.007445,5.967794,0.1163
87,1,0.009515,6.112819,0.1162
88,1,0.010208,6.197412,0.1161
89,1,0.013326,6.193996,0.1161
90,1,0.012542,6.436506,0.1161
91,1,0.009035,6.380838,0.1161
92,1,0.019107,6.445998,0.1162
93,1,0.015297,6.590928,0.1161
94,1,0.015340,7.099292,0.1161
95,1,0.057983,9.454543,0.1160
96,1,0.157377,3.704914,0.1159
97,1,0.428266,11.460125,0.1158
98,1,0.442038,9.109188,0.1158
99,1,0.021070,7.215155,0.1158
100,1,0.004628,6.444642,0.1158
101,1,0.008356,5.793351,0.1159
102,1,0.010292,5.718924,0.1159
103,1,0.010846,6.208123,0.1159
104,1,0.007246,6.409113,0.1158
105,1,0.005843,6.424453,0.1158
106,1,0.004332,6.252172,0.1157
107,1,0.008290,6.056272,0.1158
108,1,0.017044,5.507903,0.1158
109,1,0.042090,6.032942,0.1159
110,1,0.068173,7.068292,0.1161
111,1,0.027747,6.963353,0.1163
112,1,0.042175,6.499553,0.1164
113,1,0.039408,5.758607,0.1164
114,1,0.036332,5.184905,0.1164
115,1,0.094536,6.939732,0.1164
116,1,0.044328,7.121161,0.1165
117,1,0.035472,6.325634,0.1165
118,1,0.026028,6.023449,0.1165
119,1,0.024974,5.949781,0.1165
120,1,0.028388,6.133859,0.1164
121,1,0.019545,6.039894,0.1164
122,1,0.022258,6.004674,0.1164
123,1,0.019782,6.108132,0.1165
124,1,0.015930,6.033338,0.1164
125,1,0.013612,5.853612,0.1164
126,1,0.011959,6.007104,0.1164
127,1,0.016162,6.018720,0.1163
128,1,0.025940,5.872240,0.1163
129,1,0.013685,5.529741,0.1163
130,1,0.022992,6.020169,0.1162
131,1,0.025474,6.004994,0.1161
132,1,0.091894,7.088604,0.1161
133,1,0.108621,5.570005,0.1160
134,1,0.167858,8.490959,0.1160
135,1,0.309143,2.736335,0.1160
136,1,0.442565,10.184516,0.1159
137,1,0.081392,11.287892,0.1158
138,1,0.183414,10.022289,0.1157
139,1,0.011673,8.698502,0.1156
140,1,0.003531,7.406564,0.1155
141,1,0.008344,6.288849,0.1154
142,1,0.025300,6.090726,0.1153
143,1,0.029024,6.070505,0.1152
144,1,0.031703,5.990938,0.1151
145,1,0.020589,6.112692,0.1150
146,1,0.041898,6.781858,0.1149
147,1,0.029271,6.473512,0.1148
148,1,0.043934,5.147651,0.1147
149,1,0.125054,7.032680,0.1146
150,1,0.134850,4.380531,0.1145
151,1,0.228963,7.632614,0.1143
152,1,0.428620,0.542509,0.1142
153,1,2.493807,9.775074,0.1141
154,1,1.367904,5.397772,0.1141
155,1,0.056813,2.422790,0.1140
156,1,0.834832,5.980292,0.1139
157,1,0.070688,7.163284,0.1138
158,1,0.304530,5.764668,0.1137
159,1,0.099280,4.268004,0.1136
160,1,0.096165,3.685304,0.1136
161,1,0.185395,5.301247,0.1136
162,1,0.114612,5.406250,0.1136
163,1,0.112861,4.419868,0.1135
164,1,0.150890,3.247256,0.1135
165,1,0.289575,5.073423,0.1134
166,1,0.329038,2.985941,0.1133
167,1,0.284652,3.462156,0.1132
168,1,0.258487,5.104851,0.1132
169,1,0.414292,1.384972,0.1131
170,1,0.725796,6.591761,0.1130
171,1,1.006066,1.539669,0.1129
172,1,0.503452,3.334367,0.1128
173,1,0.170495,4.804480,0.1127
174,1,0.380090,3.301632,0.1127
175,1,0.228249,3.195282,0.1126
176,1,0.208968,3.774135,0.1125
177,1,0.251280,3.588073,0.1124
178,1,0.213696,2.938669,0.1124
179,1,0.270426,2.646552,0.1123
180,1,0.338848,3.384263,0.1122
181,1,0.286942,2.871135,0.1121
182,1,0.275020,2.837794,0.1121
183,1,0.299359,3.656859,0.1120
184,1,0.225329,2.850515,0.1119
185,1,0.197087,3.364946,0.1119
